id,name,concept_type,article_id,article_code,description,normalized_name
concept_article_47,"Tịch thu vật, tiền trực tiếp liên quan đến tội phạm",penalty_or_judicial_measure,article_47,47,"1. Việc tịch thu sung vào ngân sách nhà nước hoặc tịch thu tiêu hủy được áp dụng đối với: a) Công cụ, phương tiện dùng vào việc phạm tội; b) Vật hoặc tiền do phạm tội hoặc do mua bán, đổi chác những thứ ấy mà có; khoản thu lợi bất chính từ việc phạm tội; c) Vật thuộc loại Nhà nước cấm tàng trữ, cấm lưu hành. 2. Đối với vật, tiền bị người phạm tội chiếm đoạt hoặc sử dụng trái phép, thì không tịch thu mà trả lại cho chủ sở hữu hoặc người quản lý hợp pháp. 3. Vật, tiền là tài sản của người khác, nếu người này có lỗi trong việc để cho người phạm tội sử dụng vào việc thực hiện tội phạm, thì có thể ",tich thu vat tien truc tiep lien quan den toi pham
concept_article_48,"Trả lại tài sản, sửa chữa hoặc bồi thường thiệt hại; buộc công khai xin lỗi",penalty_or_judicial_measure,article_48,48,"1. Người phạm tội phải trả lại tài sản đã chiếm đoạt cho chủ sở hữu hoặc người quản lý hợp pháp, phải sửa chữa hoặc bồi thường thiệt hại vật chất đã được xác định do hành vi phạm tội gây ra. 2. Trong trường hợp phạm tội gây thiệt hại về tinh thần, Tòa án buộc người phạm tội phải bồi thường về vật chất, công khai xin lỗi người bị hại.",tra lai tai san sua chua hoac boi thuong thiet hai buoc cong khai xin loi
concept_article_49,Bắt buộc chữa bệnh,penalty_or_judicial_measure,article_49,49,"1. Đối với người thực hiện hành vi nguy hiểm cho xã hội trong khi mắc bệnh quy định tại Điều 21 của Bộ luật này, Viện kiểm sát hoặc Tòa án căn cứ vào kết luận giám định pháp y, giám định pháp y tâm thần có thể quyết định đưa họ vào một cơ sở khám bệnh, chữa bệnh để bắt buộc chữa bệnh. 2. Đối với người phạm tội trong khi có năng lực trách nhiệm hình sự nhưng trước khi bị kết án đã mắc bệnh tới mức mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình, thì căn cứ vào kết luận giám định pháp y, giám định pháp y tâm thần, Tòa án có thể quyết định đưa họ vào một cơ sở khám bệnh, chữa bện",bat buoc chua benh
concept_article_50,Căn cứ quyết định hình phạt,sentencing_rule,article_50,50,"1. Khi quyết định hình phạt, Tòa án căn cứ vào quy định của Bộ luật này, cân nhắc tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội, nhân thân người phạm tội, các tình tiết giảm nhẹ và tăng nặng trách nhiệm hình sự. 2. Khi quyết định áp dụng hình phạt tiền, ngoài căn cứ quy định tại khoản 1 Điều này, Tòa án căn cứ vào tình hình tài sản, khả năng thi hành của người phạm tội.",can cu quyet dinh hinh phat
concept_article_51,Các tình tiết giảm nhẹ trách nhiệm hình sự,sentencing_rule,article_51,51,"1. Các tình tiết sau đây là tình tiết giảm nhẹ trách nhiệm hình sự: a) Người phạm tội đã ngăn chặn hoặc làm giảm bớt tác hại của tội phạm; b) Người phạm tội tự nguyện sửa chữa, bồi thường thiệt hại hoặc khắc phục hậu quả; c) Phạm tội trong trường hợp vượt quá giới hạn phòng vệ chính đáng; d) Phạm tội trong trường hợp vượt quá yêu cầu của tình thế cấp thiết; đ) Phạm tội trong trường hợp vượt quá mức cần thiết khi bắt giữ người phạm tội; e) Phạm tội trong trường hợp bị kích động về tinh thần do hành vi trái pháp luật của nạn nhân gây ra; g) Phạm tội vì hoàn cảnh đặc biệt khó khăn mà không phải d",cac tinh tiet giam nhe trach nhiem hinh su
concept_article_52,Các tình tiết tăng nặng trách nhiệm hình sự,sentencing_rule,article_52,52,"1. Chỉ các tình tiết sau đây mới là tình tiết tăng nặng trách nhiệm hình sự: a) Phạm tội có tổ chức; b) Phạm tội có tính chất chuyên nghiệp; c) Lợi dụng chức vụ, quyền hạn để phạm tội; d) Phạm tội có tính chất côn đồ; đ) Phạm tội vì động cơ đê hèn; e) Cố tình thực hiện tội phạm đến cùng; g) Phạm tội 02 lần trở lên; h) Tái phạm hoặc tái phạm nguy hiểm; i) Phạm tội đối với người dưới 16 tuổi, phụ nữ có thai hoặc người đủ 70 tuổi trở lên; k) Phạm tội đối với người ở trong tình trạng không thể tự vệ được, người khuyết tật nặng hoặc khuyết tật đặc biệt nặng, người bị hạn chế khả năng nhận thức hoặc",cac tinh tiet tang nang trach nhiem hinh su
concept_article_53,"Tái phạm, tái phạm nguy hiểm",sentencing_rule,article_53,53,"1. Tái phạm là trường hợp đã bị kết án, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý hoặc thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do vô ý. 2. Những trường hợp sau đây được coi là tái phạm nguy hiểm: a) Đã bị kết án về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý; b) Đã tái phạm, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý.",tai pham tai pham nguy hiem
concept_article_54,Quyết định hình phạt dưới mức thấp nhất của khung hình phạt được áp dụng,sentencing_rule,article_54,54,1. Tòa án có thể quyết định một hình phạt dưới mức thấp nhất của khung hình phạt được áp dụng nhưng phải trong khung hình phạt liền kề nhẹ hơn của điều luật khi người phạm tội có ít nhất hai tình tiết giảm nhẹ quy định tại khoản 1 Điều 51 của Bộ luật này. 2. Tòa án có thể quyết định một hình phạt dưới mức thấp nhất của khung hình phạt được áp dụng nhưng không bắt buộc phải trong khung hình phạt liền kề nhẹ hơn của điều luật đối với người phạm tội lần đầu là người giúp sức trong vụ án đồng phạm nhưng có vai trò không đáng kể. 3. Trong trường hợp có đủ các điều kiện quy định tại khoản 1 hoặc kho,quyet dinh hinh phat duoi muc thap nhat cua khung hinh phat duoc ap dung
concept_article_55,Quyết định hình phạt trong trường hợp phạm nhiều tội,sentencing_rule,article_55,55,"Khi xét xử cùng 01 lần một người phạm nhiều tội, Tòa án quyết định hình phạt đối với từng tội và tổng hợp hình phạt theo quy định sau đây: 1. Đối với hình phạt chính: a) Nếu các hình phạt đã tuyên cùng là cải tạo không giam giữ hoặc cùng là tù có thời hạn, thì các hình phạt đó được cộng lại thành hình phạt chung; hình phạt chung không được vượt quá 03 năm đối với hình phạt cải tạo không giam giữ, 30 năm đối với hình phạt tù có thời hạn; b) Nếu các hình phạt đã tuyên là cải tạo không giam giữ, tù có thời hạn, thì hình phạt cải tạo không giam giữ được chuyển đổi thành hình phạt tù theo tỷ lệ cứ ",quyet dinh hinh phat trong truong hop pham nhieu toi
concept_article_56,Tổng hợp hình phạt của nhiều bản án,sentencing_rule,article_56,56,"1. Trong trường hợp một người đang phải chấp hành một bản án mà lại bị xét xử về tội đã phạm trước khi có bản án này, thì Tòa án quyết định hình phạt đối với tội đang bị xét xử, sau đó quyết định hình phạt chung theo quy định tại Điều 55 của Bộ luật này. Thời gian đã chấp hành hình phạt của bản án trước được trừ vào thời hạn chấp hành hình phạt chung. 2. Khi xét xử một người đang phải chấp hành một bản án mà lại thực hiện hành vi phạm tội mới, Tòa án quyết định hình phạt đối với tội mới, sau đó tổng hợp với phần hình phạt chưa chấp hành của bản án trước rồi quyết định hình phạt chung theo quy ",tong hop hinh phat cua nhieu ban an
concept_article_57,"Quyết định hình phạt trong trường hợp chuẩn bị phạm tội, phạm tội chưa đạt",preparation,article_57,57,"1. Đối với hành vi chuẩn bị phạm tội và hành vi phạm tội chưa đạt, hình phạt được quyết định theo các điều của Bộ luật này về các tội phạm tương ứng tùy theo tính chất, mức độ nguy hiểm cho xã hội của hành vi, mức độ thực hiện ý định phạm tội và những tình tiết khác khiến cho tội phạm không thực hiện được đến cùng. 2. Đối với trường hợp chuẩn bị phạm tội, hình phạt được quyết định trong phạm vi khung hình phạt được quy định trong các điều luật cụ thể. 3. Đối với trường hợp phạm tội chưa đạt, nếu điều luật được áp dụng có quy định hình phạt cao nhất là tù chung thân hoặc tử hình thì áp dụng hìn",quyet dinh hinh phat trong truong hop chuan bi pham toi pham toi chua dat
concept_article_58,Quyết định hình phạt trong trường hợp đồng phạm,complicity,article_58,58,"Khi quyết định hình phạt đối với những người đồng phạm, Tòa án phải xét đến tính chất của đồng phạm, tính chất và mức độ tham gia phạm tội của từng người đồng phạm. Các tình tiết giảm nhẹ, tăng nặng hoặc loại trừ trách nhiệm hình sự thuộc người đồng phạm nào, thì chỉ áp dụng đối với người đó.",quyet dinh hinh phat trong truong hop dong pham
concept_article_59,Miễn hình phạt,sentencing_rule,article_59,59,Người phạm tội có thể được miễn hình phạt nếu thuộc trường hợp quy định tại khoản 1 và khoản 2 Điều 54 của Bộ luật này mà đáng được khoan hồng đặc biệt nhưng chưa đến mức được miễn trách nhiệm hình sự.,mien hinh phat
concept_article_60,Thời hiệu thi hành bản án,general_rule,article_60,60,"1. Thời hiệu thi hành bản án hình sự là thời hạn do Bộ luật này quy định mà khi hết thời hạn đó người bị kết án, pháp nhân thương mại bị kết án không phải chấp hành bản án đã tuyên. 2. Thời hiệu thi hành bản án hình sự đối với người bị kết án được quy định như sau: a) 05 năm đối với các trường hợp xử phạt tiền, cải tạo không giam giữ hoặc xử phạt tù từ 03 năm trở xuống; b) 10 năm đối với các trường hợp xử phạt tù từ trên 03 năm đến 15 năm; c) 15 năm đối với các trường hợp xử phạt tù từ trên 15 năm đến 30 năm; d) 20 năm đối với các trường hợp xử phạt tù chung thân hoặc tử hình. 3. Thời hiệu thi",thoi hieu thi hanh ban an
concept_article_61,Không áp dụng thời hiệu thi hành bản án,general_rule,article_61,61,"Không áp dụng thời hiệu thi hành bản án đối với các tội quy định tại Chương XIII, Chương XXVI, khoản 3 và khoản 4 Điều 353, khoản 3 và khoản 4 Điều 354 của Bộ luật này.",khong ap dung thoi hieu thi hanh ban an
concept_article_62,Miễn chấp hành hình phạt,general_rule,article_62,62,"1. Người bị kết án được miễn chấp hành hình phạt khi được đặc xá hoặc đại xá. 2. Người bị kết án cải tạo không giam giữ hoặc tù có thời hạn đến 03 năm chưa chấp hành hình phạt thì theo đề nghị của Viện trưởng Viện kiểm sát, Tòa án có thể quyết định miễn chấp hành hình phạt, nếu thuộc một trong các trường hợp sau đây: a) Sau khi bị kết án đã lập công; b) Mắc bệnh hiểm nghèo; c) Chấp hành tốt pháp luật, có hoàn cảnh gia đình đặc biệt khó khăn và xét thấy người đó không còn nguy hiểm cho xã hội nữa. 3. Người bị kết án phạt tù có thời hạn trên 03 năm, chưa chấp hành hình phạt nếu đã lập công lớn h",mien chap hanh hinh phat
concept_article_63,Giảm mức hình phạt đã tuyên,general_rule,article_63,63,"1. Người bị kết án cải tạo không giam giữ, phạt tù có thời hạn hoặc phạt tù chung thân, nếu đã chấp hành hình phạt được một thời gian nhất định, có nhiều tiến bộ và đã bồi thường được một phần nghĩa vụ dân sự, thì theo đề nghị của cơ quan thi hành án hình sự có thẩm quyền, Tòa án có thể quyết định giảm thời hạn chấp hành hình phạt. Người bị kết án tù chung thân về tội tham ô tài sản, tội nhận hối lộ chỉ có thể được xét giảm thời hạn chấp hành hình phạt khi đã chủ động nộp lại ít nhất ba phần tư tài sản tham ô, nhận hối lộ và đã hợp tác tích cực với cơ quan chức năng trong việc phát hiện, điều ",giam muc hinh phat da tuyen
concept_article_64,Giảm thời hạn chấp hành hình phạt trong trường hợp đặc biệt,general_rule,article_64,64,"Người bị kết án có lý do đáng được khoan hồng thêm như đã lập công, đã quá già yếu hoặc mắc bệnh hiểm nghèo, thì Tòa án có thể xét giảm vào thời gian sớm hơn hoặc với mức cao hơn so với thời gian và mức quy định tại Điều 63 của Bộ luật này.",giam thoi han chap hanh hinh phat trong truong hop dac biet
concept_article_65,Án treo,general_rule,article_65,65,"1. Khi xử phạt tù không quá 03 năm, căn cứ vào nhân thân của người phạm tội và các tình tiết giảm nhẹ, nếu xét thấy không cần phải bắt chấp hành hình phạt tù, thì Tòa án cho hưởng án treo và ấn định thời gian thử thách từ 01 năm đến 05 năm và thực hiện các nghĩa vụ trong thời gian thử thách theo quy định của Luật thi hành án hình sự. 2. Trong thời gian thử thách, Tòa án giao người được hưởng án treo cho cơ quan, tổ chức nơi người đó làm việc hoặc chính quyền địa phương nơi người đó cư trú để giám sát, giáo dục. Gia đình người bị kết án có trách nhiệm phối hợp với cơ quan, tổ chức, chính quyền ",an treo
concept_article_66,Tha tù trước thời hạn có điều kiện,general_rule,article_66,66,"1. Người đang chấp hành án phạt tù về tội phạm nghiêm trọng, tội phạm rất nghiêm trọng hoặc tội phạm đặc biệt nghiêm trọng mà đã được giảm thời hạn chấp hành án phạt tù hoặc người đang chấp hành án phạt tù về tội phạm ít nghiêm trọng có thể được tha tù trước thời hạn khi có đủ các điều kiện sau đây: a) Phạm tội lần đầu; b) Có nhiều tiến bộ, có ý thức cải tạo tốt; c) Có nơi cư trú rõ ràng; d) Đã chấp hành xong hình phạt bổ sung là hình phạt tiền, nghĩa vụ bồi thường thiệt hại và án phí; đ) Đã chấp hành được ít nhất là một phần hai mức phạt tù có thời hạn hoặc ít nhất là 15 năm đối với trường hợ",tha tu truoc thoi han co dieu kien
concept_article_67,Hoãn chấp hành hình phạt tù,general_rule,article_67,67,"1. Người bị xử phạt tù có thể được hoãn chấp hành hình phạt trong các trường hợp sau đây: a) Bị bệnh nặng thì được hoãn cho đến khi sức khỏe được hồi phục; b) Phụ nữ có thai hoặc đang nuôi con dưới 36 tháng tuổi, thì được hoãn cho đến khi con đủ 36 tháng tuổi; c) Là người lao động duy nhất trong gia đình, nếu phải chấp hành hình phạt tù thì gia đình sẽ gặp khó khăn đặc biệt, được hoãn đến 01 năm, trừ trường hợp người đó bị kết án về các tội xâm phạm an ninh quốc gia hoặc các tội khác là tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng; d) Bị kết án về tội phạm ít nghiêm trọng, do nhu ",hoan chap hanh hinh phat tu
concept_article_68,Tạm đình chỉ chấp hành hình phạt tù,general_rule,article_68,68,"1. Người đang chấp hành hình phạt tù mà thuộc một trong các trường hợp quy định tại khoản 1 Điều 67 của Bộ luật này, thì có thể được tạm đình chỉ chấp hành hình phạt tù. 2. Thời gian tạm đình chỉ không được tính vào thời gian chấp hành hình phạt tù.",tam dinh chi chap hanh hinh phat tu
concept_article_69,Xóa án tích,general_rule,article_69,69,"1. Người bị kết án được xóa án tích theo quy định tại các điều từ Điều 70 đến Điều 73 của Bộ luật này. Người được xóa án tích coi như chưa bị kết án. 2. Người bị kết án do lỗi vô ý về tội phạm ít nghiêm trọng, tội phạm nghiêm trọng và người được miễn hình phạt không bị coi là có án tích.",xoa an tich
concept_article_70,Đương nhiên được xóa án tích,general_rule,article_70,70,"1. Đương nhiên được xóa án tích được áp dụng đối với người bị kết án không phải về các tội quy định tại Chương XIII và Chương XXVI của Bộ luật này khi họ đã chấp hành xong hình phạt chính, thời gian thử thách án treo hoặc hết thời hiệu thi hành bản án và đáp ứng các điều kiện quy định tại khoản 2 và khoản 3 Điều này. 2. Người bị kết án đương nhiên được xóa án tích, nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo, người đó đã chấp hành xong hình phạt bổ sung, các quyết định khác của bản án và không thực hiện hành vi phạm tội mới trong thời hạn sau đây: a) 01 năm t",duong nhien duoc xoa an tich
concept_article_71,Xóa án tích theo quyết định của Tòa án,general_rule,article_71,71,"1. Xóa án tích theo quyết định của Tòa án được áp dụng đối với người bị kết án về một trong các tội quy định tại Chương XIII và Chương XXVI của Bộ luật này. Tòa án quyết định việc xóa án tích đối với người bị kết án căn cứ vào tính chất của tội phạm đã thực hiện, thái độ chấp hành pháp luật, thái độ lao động của người bị kết án và các điều kiện quy định tại khoản 2 Điều này. 2. Người bị kết án được Tòa án quyết định việc xóa án tích, nếu từ khi chấp hành xong hình phạt chính hoặc hết thời gian thử thách án treo, người đó đã chấp hành xong hình phạt bổ sung, các quyết định khác của bản án và kh",xoa an tich theo quyet dinh cua toa an
concept_article_72,Xóa án tích trong trường hợp đặc biệt,general_rule,article_72,72,"Trong trường hợp người bị kết án có những biểu hiện tiến bộ rõ rệt và đã lập công, được cơ quan, tổ chức nơi người đó công tác hoặc chính quyền địa phương nơi người đó cư trú đề nghị, thì Tòa án quyết định việc xóa án tích nếu người đó đã bảo đảm được ít nhất một phần ba thời hạn quy định tại khoản 2 Điều 70 và khoản 2 Điều 71 của Bộ luật này.",xoa an tich trong truong hop dac biet
concept_article_73,Cách tính thời hạn để xóa án tích,general_rule,article_73,73,"1. Thời hạn để xóa án tích quy định tại Điều 70 và Điều 71 của Bộ luật này căn cứ vào hình phạt chính đã tuyên. 2. Người bị kết án chưa được xóa án tích mà thực hiện hành vi phạm tội mới và bị Tòa án kết án bằng bản án có hiệu lực pháp luật thì thời hạn để xóa án tích cũ được tính lại kể từ ngày chấp hành xong hình phạt chính hoặc thời gian thử thách án treo của bản án mới hoặc từ ngày bản án mới hết thời hiệu thi hành. 3. Người bị kết án trong trường hợp phạm nhiều tội mà có tội thuộc trường hợp đương nhiên được xóa án tích, có tội thuộc trường hợp xóa án tích theo quyết định của Tòa án thì c",cach tinh thoi han de xoa an tich
concept_article_74,Áp dụng quy định của Bộ luật hình sự đối với pháp nhân thương mại phạm tội,general_rule,article_74,74,Pháp nhân thương mại phạm tội phải chịu trách nhiệm hình sự theo những quy định của Chương này; theo quy định khác của Phần thứ nhất của Bộ luật này không trái với quy định của Chương này.,ap dung quy dinh cua bo luat hinh su doi voi phap nhan thuong mai pham toi
concept_article_75,Điều kiện chịu trách nhiệm hình sự của pháp nhân thương mại,general_rule,article_75,75,"1. Pháp nhân thương mại chỉ phải chịu trách nhiệm hình sự khi có đủ các điều kiện sau đây: a) Hành vi phạm tội được thực hiện nhân danh pháp nhân thương mại; b) Hành vi phạm tội được thực hiện vì lợi ích của pháp nhân thương mại; c) Hành vi phạm tội được thực hiện có sự chỉ đạo, điều hành hoặc chấp thuận của pháp nhân thương mại; d) Chưa hết thời hiệu truy cứu trách nhiệm hình sự quy định tại khoản 2 và khoản 3 Điều 27 của Bộ luật này. 2. Việc pháp nhân thương mại chịu trách nhiệm hình sự không loại trừ trách nhiệm hình sự của cá nhân.",dieu kien chiu trach nhiem hinh su cua phap nhan thuong mai
concept_article_76,Phạm vi chịu trách nhiệm hình sự của pháp nhân thương mại,general_rule,article_76,76,"Pháp nhân thương mại phải chịu trách nhiệm hình sự về tội phạm quy định tại một trong các điều 188, 189, 190, 191, 192, 193, 194, 195, 196, 200, 203, 209, 210, 211, 213, 216, 217, 225, 226, 227, 232, 234, 235, 237, 238, 239, 242, 243, 244, 245, 246, 300 và 324 của Bộ luật này.”",pham vi chiu trach nhiem hinh su cua phap nhan thuong mai
concept_article_77,Phạt tiền,general_rule,article_77,77,"1. Phạt tiền được áp dụng là hình phạt chính hoặc hình phạt bổ sung đối với pháp nhân thương mại phạm tội. 2. Mức tiền phạt được quyết định căn cứ vào tính chất, mức độ nguy hiểm của tội phạm và có xét đến tình hình tài chính của pháp nhân thương mại phạm tội, sự biến động của giá cả nhưng không được thấp hơn 50.000.000 đồng.",phat tien
concept_article_78,Đình chỉ hoạt động có thời hạn,general_rule,article_78,78,"1. Đình chỉ hoạt động có thời hạn là tạm dừng hoạt động của pháp nhân thương mại trong một hoặc một số lĩnh vực mà pháp nhân thương mại phạm tội gây thiệt hại đến tính mạng, sức khỏe con người, môi trường hoặc an ninh, trật tự, an toàn xã hội và hậu quả gây ra có khả năng khắc phục trên thực tế. 2. Thời hạn đình chỉ hoạt động từ 06 tháng đến 03 năm.",dinh chi hoat dong co thoi han
concept_article_79,Đình chỉ hoạt động vĩnh viễn,general_rule,article_79,79,"1. Đình chỉ hoạt động vĩnh viễn là chấm dứt hoạt động của pháp nhân thương mại trong một hoặc một số lĩnh vực mà pháp nhân thương mại phạm tội gây thiệt hại hoặc có khả năng thực tế gây thiệt hại đến tính mạng của nhiều người, gây sự cố môi trường hoặc gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội và không có khả năng khắc phục hậu quả gây ra. 2. Pháp nhân thương mại được thành lập chỉ để thực hiện tội phạm thì bị đình chỉ vĩnh viễn toàn bộ hoạt động.",dinh chi hoat dong vinh vien
concept_article_80,"Cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định",general_rule,article_80,80,"1. Cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định được áp dụng khi xét thấy nếu để pháp nhân thương mại bị kết án tiếp tục kinh doanh hoặc hoạt động trong lĩnh vực đó, thì có thể gây nguy hại cho tính mạng, sức khỏe của con người hoặc cho xã hội. 2. Tòa án quyết định lĩnh vực cụ thể bị cấm kinh doanh hoặc cấm hoạt động. 3. Thời hạn cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định là từ 01 năm đến 03 năm, kể từ ngày bản án có hiệu lực pháp luật.",cam kinh doanh cam hoat dong trong mot so linh vuc nhat dinh
concept_article_81,Cấm huy động vốn,general_rule,article_81,81,"1. Cấm huy động vốn được áp dụng khi xét thấy nếu để pháp nhân thương mại bị kết án huy động vốn thì có nguy cơ tiếp tục phạm tội. 2. Các hình thức cấm huy động vốn bao gồm: a) Cấm vay vốn của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài hoặc quỹ đầu tư; b) Cấm phát hành, chào bán chứng khoán; c) Cấm huy động vốn khách hàng; d) Cấm liên doanh, liên kết trong và ngoài nước; đ) Cấm hình thành quỹ tín thác bất động sản. 3. Tòa án quyết định áp dụng một hoặc một số hình thức cấm huy động vốn quy định tại khoản 2 Điều này. 4. Thời hạn cấm huy động vốn là từ 01 năm đến 03 năm, kể từ ngày bản án ",cam huy dong von
concept_article_82,Các biện pháp tư pháp áp dụng đối với pháp nhân thương mại phạm tội,general_rule,article_82,82,"1. Tòa án có thể quyết định áp dụng các biện tư pháp sau đây đối với pháp nhân thương mại phạm tội: a) Các biện pháp tư pháp quy định tại Điều 47 và Điều 48 của Bộ luật này; b) Buộc khôi phục lại tình trạng ban đầu; c) Buộc thực hiện một số biện pháp nhằm khắc phục, ngăn chặn hậu quả tiếp tục xảy ra. 2. Tòa án có thể quyết định áp dụng biện pháp tư pháp buộc pháp nhân thương mại phạm tội phải khôi phục lại tình trạng ban đầu đã bị thay đổi do hành vi phạm phạm tội của mình gây ra. 3. Căn cứ vào từng trường hợp phạm tội cụ thể, Tòa án có thể quyết định buộc pháp nhân thương mại phạm tội phải th",cac bien phap tu phap ap dung doi voi phap nhan thuong mai pham toi
concept_article_83,Căn cứ quyết định hình phạt đối với pháp nhân thương mại phạm tội,general_rule,article_83,83,"Khi quyết định hình phạt, Tòa án căn cứ vào quy định của Bộ luật này, cân nhắc tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội, việc chấp hành pháp luật của pháp nhân thương mại và các tình tiết giảm nhẹ và tăng nặng trách nhiệm hình sự áp dụng đối với pháp nhân thương mại.",can cu quyet dinh hinh phat doi voi phap nhan thuong mai pham toi
concept_article_84,Các tình tiết giảm nhẹ trách nhiệm hình sự áp dụng đối với pháp nhân thương mại,general_rule,article_84,84,"1. Các tình tiết sau đây là tình tiết giảm nhẹ trách nhiệm hình sự: a) Đã ngăn chặn hoặc làm giảm bớt tác hại của tội phạm; b) Tự nguyện sửa chữa, bồi thường thiệt hại hoặc khắc phục hậu quả; c) Phạm tội nhưng chưa gây thiệt hại hoặc gây thiệt hại không lớn; d) Tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án; đ) Có nhiều đóng góp trong việc thực hiện chính sách xã hội. 2. Khi quyết định hình phạt, Tòa án có thể coi các tình tiết khác là tình tiết giảm nhẹ, nhưng phải ghi rõ lý do giảm nhẹ trong bản án. 3. Các tình tiết giảm nhẹ đã",cac tinh tiet giam nhe trach nhiem hinh su ap dung doi voi phap nhan thuong mai
concept_article_85,Các tình tiết tăng nặng trách nhiệm hình sự áp dụng đối với pháp nhân thương mại,general_rule,article_85,85,"1. Chỉ các tình tiết sau đây mới là tình tiết tăng nặng trách nhiệm hình sự: a) Câu kết với pháp nhân thương mại khác để phạm tội; b) Cố ý thực hiện tội phạm đến cùng; c) Phạm tội 02 lần trở lên; d) Tái phạm hoặc tái phạm nguy hiểm; đ) Lợi dụng hoàn cảnh chiến tranh, tình trạng khẩn cấp, thiên tai, dịch bệnh hoặc những khó khăn đặc biệt khác của xã hội để phạm tội; e) Dùng thủ đoạn tinh vi để phạm tội hoặc nhằm trốn tránh, che giấu tội phạm. 2. Các tình tiết đã được Bộ luật này quy định là dấu hiệu định tội hoặc định khung hình phạt thì không được coi là tình tiết tăng nặng.",cac tinh tiet tang nang trach nhiem hinh su ap dung doi voi phap nhan thuong mai
concept_article_86,Quyết định hình phạt trong trường hợp pháp nhân thương mại phạm nhiều tội,general_rule,article_86,86,"Khi xét xử cùng 01 lần pháp nhân thương mại phạm nhiều tội, Tòa án quyết định hình phạt đối với từng tội và tổng hợp hình phạt theo quy định sau đây: 1. Đối với hình phạt chính: a) Nếu các hình phạt đã tuyên cùng là phạt tiền thì các khoản tiền phạt được cộng lại thành hình phạt chung. Hình phạt tiền không tổng hợp với các hình phạt khác; b) Nếu các hình phạt đã tuyên là đình chỉ hoạt động có thời hạn và đình chỉ hoạt động vĩnh viễn trong cùng lĩnh vực hoặc hình phạt đã tuyên cùng là đình chỉ hoạt động vĩnh viễn trong cùng lĩnh vực thì hình phạt chung là đình chỉ hoạt động vĩnh viễn trong lĩnh",quyet dinh hinh phat trong truong hop phap nhan thuong mai pham nhieu toi
concept_article_87,Tổng hợp hình phạt của nhiều bản án,general_rule,article_87,87,"1. Trường hợp pháp nhân thương mại đang chấp hành một bản án mà lại bị xét xử về tội đã phạm trước khi có bản án này, thì Tòa án quyết định hình phạt đối với tội đang bị xét xử, sau đó quyết định hình phạt chung theo quy định tại Điều 86 của Bộ luật này. Thời gian đã chấp hành hình phạt của bản án trước về đình chỉ hoạt động có thời hạn, cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định hoặc cấm huy động vốn được trừ vào thời hạn chấp hành hình phạt chung. 2. Khi xét xử một pháp nhân thương mại đang phải chấp hành một bản án mà lại thực hiện hành vi phạm tội mới, Tòa án quyết định ",tong hop hinh phat cua nhieu ban an
concept_article_88,Miễn hình phạt,general_rule,article_88,88,Pháp nhân thương mại phạm tội có thể được miễn hình phạt khi đã khắc phục toàn bộ hậu quả và đã bồi thường toàn bộ thiệt hại do hành vi phạm tội gây ra.,mien hinh phat
concept_article_89,Xóa án tích,general_rule,article_89,89,"Pháp nhân thương mại bị kết án đương nhiên được xóa án tích nếu trong thời hạn 02 năm kể từ khi chấp hành xong hình phạt chính, hình phạt bổ sung, các quyết định khác của bản án hoặc từ khi hết thời hiệu thi hành bản án mà pháp nhân thương mại không thực hiện hành vi phạm tội mới. NGƯỜI DƯỚI 18 TUỔI PHẠM TỘI",xoa an tich
concept_article_90,Áp dụng Bộ luật hình sự đối với người dưới 18 tuổi phạm tội,age_responsibility,article_90,90,Người từ đủ 14 tuổi đến dưới 18 tuổi phạm tội phải chịu trách nhiệm hình sự theo những quy định của Chương này; theo quy định khác của Phần thứ nhất của Bộ luật này không trái với quy định của Chương này.,ap dung bo luat hinh su doi voi nguoi duoi 18 tuoi pham toi
